;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
24/09/2024;09:22:15;1230.00;;97.840;97.490;97.118;---;15.541;15.541;15.541;---;994.97;69.286;15.541;---;---;24.946;24.753;25.204;---;61.714;19.308;8.295;---;4.871;5.645;3.647;---;;
24/09/2024;09:22:45;1260.00;;97.660;97.305;95.443;---;15.541;15.541;15.541;---;994.91;69.531;15.541;---;---;24.969;24.775;25.408;---;61.728;19.302;8.322;---;4.842;5.642;3.660;---;;
24/09/2024;09:23:15;1290.00;;97.177;97.480;96.268;---;15.533;15.533;15.533;---;994.92;69.233;15.533;---;---;25.028;24.755;25.308;---;61.784;19.280;8.303;---;4.878;5.674;3.634;---;;
24/09/2024;09:23:45;1320.00;;97.474;97.679;95.392;---;15.540;15.540;15.540;---;994.97;69.170;15.540;---;---;24.990;24.729;25.414;---;61.757;19.296;8.283;---;4.836;5.674;3.641;---;;
24/09/2024;09:24:15;1350.00;;97.891;96.893;95.818;---;15.547;15.547;15.547;---;994.96;69.553;15.547;---;---;24.940;24.824;25.362;---;61.814;19.279;8.301;---;4.822;5.670;3.654;---;;
24/09/2024;09:24:45;1380.00;;97.487;97.347;95.805;---;15.551;15.551;15.551;---;994.96;69.891;15.551;---;---;24.988;24.769;25.362;---;61.811;19.310;8.303;---;4.900;5.670;3.660;---;;
24/09/2024;09:25:15;1410.00;;97.483;96.931;94.981;---;15.543;15.543;15.543;---;994.97;70.179;15.543;---;---;24.989;24.819;25.465;---;61.861;19.323;8.306;---;4.830;5.636;3.658;---;;
24/09/2024;09:25:45;1440.00;;97.939;97.220;96.336;---;15.529;15.529;15.529;---;994.92;70.604;15.529;---;---;24.937;24.787;25.300;---;61.862;19.358;8.285;---;4.835;5.698;3.644;---;;
24/09/2024;09:26:15;1470.00;;97.349;97.206;96.236;---;15.539;15.539;15.539;---;994.93;70.706;15.539;---;---;25.6;24.787;25.311;---;61.897;19.360;8.299;---;4.880;5.652;3.663;---;;
24/09/2024;09:26:45;1500.00;;97.612;96.822;95.522;---;15.540;15.540;15.540;---;994.96;70.995;15.540;---;---;24.974;24.833;25.399;---;61.893;19.359;8.318;---;4.889;5.695;3.673;---;;
24/09/2024;09:27:15;1530.00;;97.409;96.895;95.971;---;15.542;15.542;15.542;---;994.97;71.049;15.542;---;---;24.999;24.824;25.344;---;61.950;19.336;8.309;---;4.855;5.681;3.653;---;;
24/09/2024;09:27:45;1560.00;;97.493;96.912;95.870;---;15.545;15.545;15.545;---;994.95;71.003;15.545;---;---;24.988;24.821;25.355;---;61.914;19.346;8.308;---;4.884;5.662;3.656;---;;
24/09/2024;09:28:15;1590.00;;97.805;96.543;96.166;---;15.541;15.541;15.541;---;994.99;70.932;15.541;---;---;24.950;24.866;25.320;---;61.879;19.368;8.299;---;4.896;5.629;3.640;---;;
24/09/2024;09:28:45;1620.00;;97.728;97.037;96.063;---;15.544;15.544;15.544;---;994.98;70.721;15.544;---;---;24.959;24.807;25.332;---;61.908;19.353;8.317;---;4.836;5.684;3.646;---;;
24/09/2024;09:29:15;1650.00;;97.590;97.359;95.938;---;15.539;15.539;15.539;---;994.90;70.550;15.539;---;---;24.978;24.769;25.349;---;61.911;19.381;8.318;---;4.827;5.694;3.623;---;;
24/09/2024;09:29:45;1680.00;;97.641;95.716;95.857;---;15.537;15.537;15.537;---;995.00;70.242;15.537;---;---;24.971;24.967;25.357;---;61.882;19.347;8.303;---;4.862;5.645;3.644;---;;
24/09/2024;09:30:15;1710.00;;97.727;96.136;96.577;---;15.529;15.529;15.529;---;994.98;69.826;15.529;---;---;24.961;24.918;25.270;---;61.880;19.396;8.299;---;4.906;5.671;3.649;---;;
24/09/2024;09:30:45;1740.00;;97.598;96.978;95.244;---;15.530;15.530;15.530;---;994.94;69.668;15.530;---;---;24.977;24.816;25.434;---;61.908;19.366;8.314;---;4.892;5.656;3.658;---;;
24/09/2024;09:31:15;1770.00;;97.549;96.744;95.930;---;15.526;15.526;15.526;---;994.96;69.675;15.526;---;---;24.983;24.844;25.350;---;61.875;19.414;8.307;---;4.850;5.652;3.653;---;;
24/09/2024;09:31:45;1800.00;;97.771;96.756;95.763;---;15.525;15.525;15.525;---;994.97;69.500;15.525;---;---;24.956;24.842;25.371;---;61.915;19.423;8.323;---;4.891;5.682;3.645;---;;
24/09/2024;09:32:15;1830.00;;97.845;96.265;96.882;---;15.527;15.527;15.527;---;994.93;69.467;15.527;---;---;24.947;24.903;25.234;---;61.845;19.410;8.315;---;4.913;5.667;3.653;---;;
24/09/2024;09:32:45;1860.00;;97.654;95.901;95.763;---;15.518;15.518;15.518;---;994.93;69.042;15.518;---;---;24.972;24.949;25.373;---;61.868;19.387;8.304;---;4.853;5.648;3.657;---;;
24/09/2024;09:33:15;1890.00;;97.346;96.928;96.445;---;15.521;15.521;15.521;---;994.99;69.637;15.521;---;---;25.8;24.822;25.287;---;61.893;19.415;8.321;---;4.867;5.645;3.649;---;;
