;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
25/09/2024;13:47:11;14880.00;;83.660;96.973;---;---;15.533;15.533;15.533;---;995.03;70.606;15.533;---;---;26.798;24.815;-0.125;---;65.993;19.066;0.075;---;4.766;5.657;3.616;---;;
25/09/2024;13:47:41;14910.00;;82.918;96.782;---;---;15.526;15.526;15.526;---;995.01;70.698;15.526;---;---;26.905;24.839;17.826;---;66.347;19.064;0.090;---;4.781;5.600;3.613;---;;
25/09/2024;13:48:11;14940.00;;82.236;97.330;---;---;15.520;15.520;15.520;---;995.04;70.469;15.520;---;---;27.4;24.774;7.392;---;66.574;19.042;0.064;---;4.823;5.574;3.601;---;;
25/09/2024;13:48:41;14970.00;;81.611;97.603;---;---;15.521;15.521;15.521;---;994.96;70.202;15.521;---;---;27.095;24.741;11.064;---;66.829;19.059;0.059;---;4.780;5.622;3.616;---;;
25/09/2024;13:49:11;15000.00;;81.601;97.425;---;---;15.521;15.521;15.521;---;995.04;70.097;15.521;---;---;27.095;24.762;10.201;---;66.928;19.044;0.086;---;4.770;5.629;3.631;---;;
25/09/2024;13:49:41;15030.00;;81.445;96.916;---;---;15.510;15.510;15.510;---;995.02;69.904;15.510;---;---;27.120;24.825;12.133;---;66.895;19.041;0.070;---;4.806;5.610;3.613;---;;
25/09/2024;13:50:11;15060.00;;81.226;96.912;---;---;15.495;15.495;15.495;---;994.98;69.851;15.495;---;---;27.154;24.828;12.093;---;66.894;19.029;0.066;---;4.827;5.665;3.614;---;;
25/09/2024;13:50:41;15090.00;;81.234;97.356;---;---;15.493;15.493;15.493;---;994.98;69.790;15.493;---;---;27.153;24.774;19.688;---;66.892;19.042;0.070;---;4.875;5.611;3.629;---;;
25/09/2024;13:51:11;15120.00;;81.677;97.527;---;---;15.494;15.494;15.494;---;994.97;69.668;15.494;---;---;27.089;24.754;3.524;---;66.817;19.068;0.071;---;4.884;5.648;3.602;---;;
25/09/2024;13:51:41;15150.00;;81.690;97.001;---;---;15.478;15.478;15.478;---;995.00;69.800;15.478;---;---;27.088;24.818;6.098;---;66.795;19.051;0.071;---;4.805;5.644;3.619;---;;
