Date [A Ch.2 Main];Time [A Ch.2 Main];dt (s) [A Ch.2 Main];Oxygen (%air sat.) [A Ch.2 Main];dphi (∞) [A Ch.2 Main];Signal Intensity (mV) [A Ch.2 Main];Ambient Light (mV) [A Ch.2 Main];Status [A Ch.2 Main];Date [A Ch.2 CompT];Time [A Ch.2 CompT];dt (s) [A Ch.2 CompT];Sample Temp. (∞C) [A Ch.2 CompT];Status [A Ch.2 CompT];Date [A Ch.2 CompP];Time [A Ch.2 CompP];dt (s) [A Ch.2 CompP];Pressure (mbar) [A Ch.2 CompP];Status [A Ch.2 CompP];Date [A Ch.3 Main];Time [A Ch.3 Main];dt (s) [A Ch.3 Main];Oxygen (%air sat.) [A Ch.3 Main];dphi (∞) [A Ch.3 Main];Signal Intensity (mV) [A Ch.3 Main];Ambient Light (mV) [A Ch.3 Main];Status [A Ch.3 Main];Date [A Ch.3 CompT];Time [A Ch.3 CompT];dt (s) [A Ch.3 CompT];Sample Temp. (∞C) [A Ch.3 CompT];Status [A Ch.3 CompT];Date [A Ch.3 CompP];Time [A Ch.3 CompP];dt (s) [A Ch.3 CompP];Pressure (mbar) [A Ch.3 CompP];Status [A Ch.3 CompP];Date [A Ch.4 Main];Time [A Ch.4 Main];dt (s) [A Ch.4 Main];Oxygen (%air sat.) [A Ch.4 Main];dphi (∞) [A Ch.4 Main];Signal Intensity (mV) [A Ch.4 Main];Ambient Light (mV) [A Ch.4 Main];Status [A Ch.4 Main];Date [A Ch.4 CompT];Time [A Ch.4 CompT];dt (s) [A Ch.4 CompT];Sample Temp. (∞C) [A Ch.4 CompT];Status [A Ch.4 CompT];Date [A Ch.4 CompP];Time [A Ch.4 CompP];dt (s) [A Ch.4 CompP];Pressure (mbar) [A Ch.4 CompP];Status [A Ch.4 CompP];Date [A T1];Time [A T1];dt (s) [A T1];Sample Temp. (∞C) [A T1];Status [A T1];Date [Comment];Time [Comment];Comment
24-09-2024;13:23:09.073;600.477;100.851;24.552;149;0;OK;24-09-2024;13:23:09.073;600.477;15.495;OK;24-09-2024;13:23:09.073;600.477;996;OK;24-09-2024;13:23:08.646;600.050;104.169;24.498;51;0;OK;24-09-2024;13:23:08.646;600.050;15.495;OK;24-09-2024;13:23:08.646;600.050;996;OK;24-09-2024;13:23:08.874;600.278;103.509;24.235;60;1;OK;24-09-2024;13:23:08.874;600.278;15.495;OK;24-09-2024;13:23:08.874;600.278;995;OK;24-09-2024;13:34:08.880;1260.284;15.445;OK;;;
24-09-2024;13:23:39.065;630.469;101.039;24.531;149;0;OK;24-09-2024;13:23:39.065;630.469;15.496;OK;24-09-2024;13:23:39.065;630.469;995;OK;24-09-2024;13:23:38.645;630.049;104.212;24.493;51;0;OK;24-09-2024;13:23:38.645;630.049;15.497;OK;24-09-2024;13:23:38.645;630.049;996;OK;24-09-2024;13:23:38.865;630.269;103.437;24.243;60;0;OK;24-09-2024;13:23:38.865;630.269;15.497;OK;24-09-2024;13:23:38.865;630.269;995;OK;24-09-2024;13:35:08.884;1320.288;15.437;OK;;;
24-09-2024;13:24:09.066;660.470;101.017;24.533;149;0;OK;24-09-2024;13:24:09.066;660.470;15.495;OK;24-09-2024;13:24:09.066;660.470;996;OK;24-09-2024;13:24:08.641;660.045;104.071;24.508;51;0;OK;24-09-2024;13:24:08.641;660.045;15.496;OK;24-09-2024;13:24:08.641;660.045;996;OK;24-09-2024;13:24:08.869;660.273;103.304;24.258;60;0;OK;24-09-2024;13:24:08.869;660.273;15.495;OK;24-09-2024;13:24:08.869;660.273;996;OK;24-09-2024;13:36:08.886;1380.291;15.441;OK;;;
24-09-2024;13:24:39.061;690.465;100.885;24.547;149;1;OK;24-09-2024;13:24:39.061;690.465;15.495;OK;24-09-2024;13:24:39.061;690.465;996;OK;24-09-2024;13:24:38.644;690.049;104.189;24.495;51;1;OK;24-09-2024;13:24:38.644;690.049;15.494;OK;24-09-2024;13:24:38.644;690.049;996;OK;24-09-2024;13:24:38.863;690.267;103.369;24.250;60;1;OK;24-09-2024;13:24:38.863;690.267;15.494;OK;24-09-2024;13:24:38.863;690.267;996;OK;24-09-2024;13:37:08.884;1440.288;15.432;OK;;;
24-09-2024;13:25:09.093;720.497;100.943;24.541;149;0;OK;24-09-2024;13:25:09.093;720.497;15.489;OK;24-09-2024;13:25:09.093;720.497;996;OK;24-09-2024;13:25:08.650;720.054;104.185;24.496;51;0;OK;24-09-2024;13:25:08.650;720.054;15.489;OK;24-09-2024;13:25:08.650;720.054;996;OK;24-09-2024;13:25:08.867;720.271;103.402;24.247;60;0;OK;24-09-2024;13:25:08.867;720.271;15.489;OK;24-09-2024;13:25:08.867;720.271;996;OK;24-09-2024;13:38:08.672;1500.076;15.431;OK;;;
24-09-2024;13:25:39.065;750.469;101.032;24.532;149;1;OK;24-09-2024;13:25:39.065;750.469;15.487;OK;24-09-2024;13:25:39.065;750.469;996;OK;24-09-2024;13:25:38.650;750.054;104.105;24.505;51;1;OK;24-09-2024;13:25:38.650;750.054;15.489;OK;24-09-2024;13:25:38.650;750.054;996;OK;24-09-2024;13:25:38.869;750.273;103.335;24.255;60;0;OK;24-09-2024;13:25:38.869;750.273;15.488;OK;24-09-2024;13:25:38.869;750.273;996;OK;24-09-2024;13:39:08.675;1560.079;15.429;OK;;;
24-09-2024;13:26:09.068;780.472;100.887;24.548;149;0;OK;24-09-2024;13:26:09.068;780.472;15.487;OK;24-09-2024;13:26:09.068;780.472;996;OK;24-09-2024;13:26:08.649;780.054;104.051;24.511;51;1;OK;24-09-2024;13:26:08.649;780.054;15.487;OK;24-09-2024;13:26:08.649;780.054;996;OK;24-09-2024;13:26:08.870;780.274;103.476;24.239;60;0;OK;24-09-2024;13:26:08.870;780.274;15.487;OK;24-09-2024;13:26:08.870;780.274;996;OK;24-09-2024;13:40:08.674;1620.078;15.424;OK;;;
24-09-2024;13:26:39.066;810.470;100.785;24.561;150;0;OK;24-09-2024;13:26:39.066;810.470;15.486;OK;24-09-2024;13:26:39.066;810.470;996;OK;24-09-2024;13:26:38.655;810.059;103.974;24.521;51;0;OK;24-09-2024;13:26:38.655;810.059;15.486;OK;24-09-2024;13:26:38.655;810.059;995;OK;24-09-2024;13:26:38.870;810.274;103.254;24.264;60;0;OK;24-09-2024;13:26:38.870;810.274;15.487;OK;24-09-2024;13:26:38.870;810.274;996;OK;24-09-2024;13:41:08.675;1680.079;15.427;OK;;;
24-09-2024;13:27:09.079;840.483;100.762;24.563;150;1;OK;24-09-2024;13:27:09.079;840.483;15.484;OK;24-09-2024;13:27:09.079;840.483;996;OK;24-09-2024;13:27:08.655;840.059;104.121;24.504;51;0;OK;24-09-2024;13:27:08.655;840.059;15.483;OK;24-09-2024;13:27:08.655;840.059;996;OK;24-09-2024;13:27:08.872;840.276;103.446;24.242;60;0;OK;24-09-2024;13:27:08.872;840.276;15.484;OK;24-09-2024;13:27:08.872;840.276;996;OK;24-09-2024;13:42:08.675;1740.079;15.417;OK;;;
24-09-2024;13:27:39.074;870.478;100.712;24.570;150;0;OK;24-09-2024;13:27:39.074;870.478;15.481;OK;24-09-2024;13:27:39.074;870.478;996;OK;24-09-2024;13:27:38.657;870.061;104.284;24.487;51;0;OK;24-09-2024;13:27:38.657;870.061;15.480;OK;24-09-2024;13:27:38.657;870.061;995;OK;24-09-2024;13:27:38.877;870.281;103.536;24.233;60;0;OK;24-09-2024;13:27:38.877;870.281;15.480;OK;24-09-2024;13:27:38.877;870.281;996;OK;24-09-2024;13:43:08.673;1800.077;15.413;OK;;;
